;;;;;;;;;;;;;;C2H6;C3H6;C3H8;H2;C2H4
l [m];C2H4;C3H6;C2H6;C3H8;H2;FLMOL [kgmol/hr];t [s];T [K];2;3;;;;C2H6 - HYSYS;C3H6 - HYSYS;C3H8 - HYSYS;H2 - HYSYS;C2H4 - HYSYS
0,001710523;0,004343542;0,001018487;0,791366834;0,197909107;0,005362029;1,005390936;0,000114133;1268,270867;0,341488882;0,080146491;;;0,535;0,588786061;2,56E-02;0,148105755;1,32E-01;0,105970628
0,001742199;0,004419023;0,001036203;0,791216797;0,197872752;0,005455225;1,005485148;0,000116245;1268,18553;0,340798736;0,079987129;;;0,545;0,587985558;2,57E-02;0,147905804;1,32E-01;0,106370949
0,001773876;0,004494337;0,00105388;0,79106709;0,197836477;0,005548216;1,005579171;0,000118357;1268,100362;0,340111268;0,079828381;;;0,555;0,587201292;2,58E-02;0,147709877;1,33E-01;0,106763138
0,001805552;0,004569485;0,001071519;0,790917712;0,19780028;0,005641004;1,005673005;0,000120469;1268,015362;0,339426462;0,079670242;;;0,565;0,586432657;2,59E-02;0,147517826;1,33E-01;0,107147498
0,001837228;0,004644468;0,00108912;0,790768662;0,197764163;0,005733588;1,005766651;0,000122581;1267,93053;0,338744305;0,079512709;;;0,575;0,585679079;2,60E-02;0,147329509;1,33E-01;0,107524318
0,001868905;0,004719287;0,001106682;0,790619937;0,197728124;0,005825969;1,00586011;0,000124692;1267,845866;0,33806478;0,079355779;;;0,585;0,584940014;2,61E-02;0,147144791;1,34E-01;0,107893871
0,001900581;0,004793942;0,001124207;0,790471538;0,197692163;0,00591815;1,005953383;0,000126804;1267,761369;0,337387873;0,079199448;;;0,595;0,584214945;2,62E-02;0,146963545;1,34E-01;0,108256413
0,001932257;0,004868435;0,001141695;0,790323462;0,197656279;0,006010129;1,006046469;0,000128916;1267,677037;0,336713568;0,079043713;;;0,605;0,583503384;2,62E-02;0,146785651;1,35E-01;0,108612192
0,001963934;0,004942764;0,001159144;0,790175708;0,197620474;0,006101909;1,006139371;0,000131027;1267,592871;0,336041851;0,07888857;;;0,615;0,582804865;2,63E-02;0,146610992;1,35E-01;0,10896144
0,00199561;0,005016933;0,001176557;0,790028276;0,197584745;0,006193489;1,006232088;0,000133139;1267,508869;0,335372707;0,078734017;;;0,625;0,582118948;2,64E-02;0,14643946;1,36E-01;0,109304377
0,002027287;0,00509094;0,001193932;0,789881163;0,197549094;0,006284872;1,006324621;0,00013525;1267,425032;0,334706122;0,078580049;;;0,635;0,581445212;2,65E-02;0,146270952;1,36E-01;0,109641216
0,002058963;0,005164787;0,00121127;0,789734368;0,197513519;0,006376056;1,006416971;0,000137362;1267,341358;0,334042081;0,078426664;;;0,645;0,580783257;2,66E-02;0,146105368;1,37E-01;0,109972155
0,002090639;0,005238474;0,001228571;0,789587891;0,19747802;0,006467045;1,006509139;0,000139473;1267,257847;0,33338057;0,078273859;;;0,655;0,580132702;2,67E-02;0,145942614;1,37E-01;0,110297386
0,002122316;0,005312002;0,001245835;0,789441729;0,197442598;0,006557837;1,006601126;0,000141584;1267,174498;0,332721575;0,078121629;;;0,665;0,579493185;2,67E-02;0,1457826;1,37E-01;0,110617092
0,002153992;0,005385371;0,001263063;0,789295882;0,197407251;0,006648434;1,006692931;0,000143696;1267,091311;0,332065081;0,077969972;;;0,675;0,578864357;2,68E-02;0,145625241;1,38E-01;0,110931444
0,002185668;0,005458583;0,001280254;0,789150348;0,197371979;0,006738836;1,006784556;0,000145807;1267,008285;0,331411074;0,077818885;;;0,685;0,57824589;2,69E-02;0,145470455;1,38E-01;0,11124061
0,002217345;0,005531637;0,001297408;0,789005126;0,197336782;0,006829046;1,006876002;0,000147918;1266,92542;0,330759541;0,077668364;;;0,695;0,577637466;2,70E-02;0,145318164;1,39E-01;0,111544748
0,002249021;0,005604535;0,001314527;0,788860215;0,197301661;0,006919062;1,006967269;0,000150029;1266,842714;0,330110468;0,077518407;;;0,705;0,577038784;2,71E-02;0,145168293;1,39E-01;0,111844009
0,002280697;0,005677277;0,001331609;0,788715614;0,197266614;0,007008886;1,007058357;0,00015214;1266,760168;0,329463841;0,077369009;;;0,715;0,576449555;2,71E-02;0,14502077;1,39E-01;0,112138537
0,002312374;0,005749863;0,001348656;0,788571321;0,19723164;0,007098519;1,007149268;0,000154251;1266,67778;0,328819646;0,077220169;;;0,725;0,575869501;2,72E-02;0,144875527;1,40E-01;0,112428472
0,00234405;0,005822295;0,001365666;0,788427336;0,197196741;0,007187962;1,007240002;0,000156362;1266,59555;0,328177869;0,077071883;;;0,735;0,575298359;2,73E-02;0,144732499;1,40E-01;0,112713946
0,002375726;0,005894573;0,001382641;0,788283656;0,197161916;0,007277214;1,00733056;0,000158473;1266,513478;0,327538499;0,076924148;;;0,745;0,574735874;2,73E-02;0,144591622;1,40E-01;0,112995087
0,002407403;0,005966697;0,001399581;0,788140281;0,197127164;0,007366278;1,007420943;0,000160584;1266,431563;0,32690152;0,07677696;;;0,755;0,574181803;2,74E-02;0,144452836;1,41E-01;0,113272015
0,002439079;0,006038668;0,001416485;0,787997209;0,197092484;0,007455153;1,00751115;0,000162694;1266,349804;0,32626692;0,076630318;;;0,765;0,573635912;2,75E-02;0,144316085;1,41E-01;0,113544849
0,002470755;0,006110487;0,001433354;0,78785444;0,197057878;0,007543841;1,007601183;0,000164805;1266,268201;0,325634686;0,076484218;;;0,775;0,573097967;2,75E-02;0,144181308;1,41E-01;0,113813705
0,002502432;0,006182154;0,001450188;0,787711972;0,197023344;0,007632342;1,007691043;0,000166916;1266,186753;0,325004805;0,076338656;;;0,785;0,572567753;2,76E-02;0,144048454;1,42E-01;0,114078692
0,002534108;0,006253671;0,001466986;0,787569804;0,196988882;0,007720657;1,007780729;0,000169026;1266,10546;0,324377263;0,076193631;;;0,795;0,572045063;2,77E-02;0,143917471;1,42E-01;0,114339913
0,002565785;0,006325036;0,00148375;0,787427935;0,196954492;0,007808786;1,007870243;0,000171137;1266,02432;0,323752048;0,076049138;;;0,805;0,571529699;2,77E-02;0,143788309;1,42E-01;0,114597467
0,002597461;0,006396252;0,00150048;0,787286363;0,196920174;0,007896731;1,007959586;0,000173248;1265,943334;0,323129148;0,075905176;;;0,815;0,57102147;2,78E-02;0,143660923;1,43E-01;0,11485145
0,002629137;0,006467318;0,001517174;0,787145088;0,196885927;0,007984492;1,008048757;0,000175358;1265,862501;0,322508549;0,075761741;;;0,825;0,570520194;2,79E-02;0,143535266;1,43E-01;0,115101953
0,002660814;0,006538235;0,001533834;0,787004109;0,196851752;0,00807207;1,008137758;0,000177468;1265,781821;0,321890239;0,075618831;;;0,835;0,570025692;2,79E-02;0,143411294;1,43E-01;0,115349065
0,00269249;0,006609005;0,00155046;0,786863423;0,196817647;0,008159465;1,00822659;0,000179579;1265,701292;0,321274205;0,075476442;;;0,845;0,569537796;2,80E-02;0,143288966;1,44E-01;0,115592871
0,002724166;0,006679626;0,001567052;0,786723031;0,196783612;0,008246679;1,008315252;0,000181689;1265,620914;0,320660436;0,075334572;;;0,855;0,569056341;2,81E-02;0,143168241;1,44E-01;0,115833454
0,002755843;0,006750101;0,00158361;0,78658293;0,196749648;0,008333711;1,008403745;0,000183799;1265,540687;0,320048918;0,075193218;;;0,865;0,568581169;2,81E-02;0,143049079;1,44E-01;0,116070893
0,002787519;0,006820429;0,001600134;0,786443121;0,196715754;0,008420563;1,008492071;0,000185909;1265,460611;0,31943964;0,075052377;;;0,875;0,568112127;2,82E-02;0,142931443;1,44E-01;0,116305264
0,002819195;0,006890611;0,001616624;0,786303601;0,196681929;0,008507235;1,008580229;0,00018802;1265,380683;0,318832589;0,074912047;;;0,885;0,567649068;2,82E-02;0,142815296;1,45E-01;0,11653664
0,002850872;0,006960648;0,00163308;0,786164369;0,196648174;0,008593728;1,008668221;0,00019013;1265,300905;0,318227754;0,074772224;;;0,895;0,567191851;2,83E-02;0,142700603;1,45E-01;0,116765093
0,002882548;0,00703054;0,001649503;0,786025426;0,196614488;0,008680043;1,008756046;0,00019224;1265,221276;0,317625123;0,074632906;;;0,905;0,566740337;2,83E-02;0,14258733;1,45E-01;0,116990692
0,002914224;0,007100288;0,001665893;0,785886768;0,196580871;0,00876618;1,008843706;0,00019435;1265,141794;0,317024683;0,074494091;;;0,915;0,566294396;2,84E-02;0,142475444;1,46E-01;0,117213503
0,002945901;0,007169892;0,001682249;0,785748396;0,196547323;0,008852141;1,008931201;0,00019646;1265,06246;0,316426422;0,074355775;;;0,925;0,565853898;2,85E-02;0,142364914;1,46E-01;0,117433589
0,002977577;0,007239353;0,001698572;0,785610308;0,196513843;0,008937925;1,009018531;0,00019857;1264,983273;0,31583033;0,074217956;;;0,935;0,565418721;2,85E-02;0,142255709;1,46E-01;0,117651014
0,003009253;0,007308671;0,001714862;0,785472503;0,196480431;0,009023533;1,009105698;0,000200679;1264,904232;0,315236395;0,074080631;;;0,945;0,564988743;2,86E-02;0,142147799;1,46E-01;0,117865836
0,00304093;0,007377847;0,001731119;0,78533498;0,196447087;0,009108966;1,009192702;0,000202789;1264,825337;0,314644605;0,073943798;;;0,955;0,56456385;2,86E-02;0,142041155;1,47E-01;0,118078114
0,003072606;0,007446882;0,001747344;0,785197738;0,196413811;0,009194225;1,009279544;0,000204899;1264,746587;0,314054948;0,073807454;;;0,965;0,56414393;2,87E-02;0,14193575;1,47E-01;0,118287904
0,003104282;0,007515775;0,001763535;0,785060776;0,196380602;0,009279311;1,009366223;0,000207009;1264,667983;0,313467413;0,073671596;;;0,975;0,563728875;2,87E-02;0,141831556;1,47E-01;0,11849526
0,003135959;0,007584528;0,001779695;0,784924093;0,196347461;0,009364223;1,009452741;0,000209118;1264,589522;0,312881989;0,073536223;;;0,985;0,563318578;2,88E-02;0,141728548;1,47E-01;0,118700235
0,003167635;0,007653142;0,001795822;0,784787688;0,196314386;0,009448963;1,009539098;0,000211228;1264,511205;0,312298666;0,07340133;;;0,995;0,562912939;2,88E-02;0,141626701;1,48E-01;0,11890288
0,003199312;0,007721616;0,001811916;0,784651559;0,196281377;0,009533532;1,009625295;0,000213337;1264,433032;0,31171743;0,073266917;;;1,005;0,562511858;2,89E-02;0,14152599;1,48E-01;0,119103244
0,003230988;0,007789951;0,001827979;0,784515706;0,196248436;0,009617929;1,009711332;0,000215447;1264,355001;0,311138272;0,07313298;;;1,015;0,562115242;2,89E-02;0,141426391;1,48E-01;0,119301374
0,003262664;0,007858147;0,001844009;0,784380128;0,19621556;0,009702156;1,00979721;0,000217556;1264,277113;0,310561181;0,072999516;;;1,025;0,561722996;2,90E-02;0,141327881;1,48E-01;0,119497318
0,003294341;0,007926206;0,001860007;0,784244823;0,19618275;0,009786213;1,00988293;0,000219666;1264,199367;0,309986145;0,072866524;;;1,035;0,561335031;2,90E-02;0,141230438;1,49E-01;0,11969112
0,003326017;0,007994127;0,001875974;0,784109791;0,196150006;0,009870102;1,009968492;0,000221775;1264,121761;0,309413155;0,072734001;;;1,045;0,56095126;2,91E-02;0,141134041;1,49E-01;0,119882823
0,003357693;0,008061912;0,001891909;0,783975031;0,196117327;0,009953821;1,010053896;0,000223884;1264,044297;0,308842198;0,072601944;;;1,055;0,560571598;2,91E-02;0,141038667;1,49E-01;0,120072471
0,00338937;0,00812956;0,001907813;0,783840541;0,196084713;0,010037373;1,010139143;0,000225994;1263,966973;0,308273265;0,072470351;;;1,065;0,560195963;2,92E-02;0,140944298;1,49E-01;0,120260104
0,003421046;0,008197073;0,001923685;0,783706321;0,196052164;0,010120758;1,010224235;0,000228103;1263,889788;0,307706345;0,072339219;;;1,075;0,559824276;2,92E-02;0,140850914;1,50E-01;0,120445763
0,003452722;0,00826445;0,001939525;0,783572369;0,19601968;0,010203975;1,01030917;0,000230212;1263,812743;0,307141427;0,072208547;;;1,085;0,559456459;2,93E-02;0,140758494;1,50E-01;0,120629485
0,003484399;0,008331693;0,001955335;0,783438685;0,19598726;0,010287027;1,01039395;0,000232321;1263,735837;0,3065785;0,072078331;;;1,095;0,559092437;2,93E-02;0,14066702;1,50E-01;0,120811309
0,003516075;0,008398801;0,001971113;0,783305268;0,195954904;0,010369914;1,010478576;0,00023443;1263,659069;0,306017556;0,07194857;;;1,105;0,558732136;2,94E-02;0,140576475;1,50E-01;0,120991271
0,003547751;0,008465775;0,00198686;0,783172116;0,195922613;0,010452636;1,010563047;0,000236539;1263,582439;0,305458582;0,071819261;;;1,115;0,558375487;2,94E-02;0,14048684;1,51E-01;0,121169407
0,003579428;0,008532617;0,002002577;0,783039229;0,195890385;0,010535193;1,010647365;0,000238648;1263,505946;0,30490157;0,071690402;;;1,125;0,558022419;2,94E-02;0,140398098;1,51E-01;0,121345751
