l [m];Ethane;Propene;Propane;Hydrogen;Ethylene;T [K];"""C2H6 --> C2H4 + H2"" rate";"""C3H8 --> C2H6 + H2"" rate"
2.46500000000000;0.528494508208778;0.0331930404447678;0.132951556576539;0.169277015627627;0.136083879142288;1070.89763844468;0.00149263237177387;0.000379160169129115
2.47500000000000;0.528349418582644;0.0332115751219373;0.132914841422267;0.169367918013012;0.136156246860139;1070.76321638034;0.00148616800009638;0.000377539756272503
2.48500000000000;0.528204985676114;0.0332300270402136;0.132878291191161;0.169458409577033;0.136228286515479;1070.62936656979;0.00147975744032156;0.000375932736953921
2.49500000000000;0.528061203892942;0.0332483968997471;0.132841904483472;0.169548493817686;0.136300000906154;1070.49608430136;0.00147340003171515;0.000374338947518734
2.50500000000000;0.527918067706671;0.0332666853919999;0.132805679916857;0.16963817418937;0.136371392795102;1070.36336492067;0.00146709512424539;0.000372758226953268
2.51500000000000;0.527775571659488;0.0332848931998878;0.132769616126098;0.169727454103603;0.136442464910924;1070.23120382981;0.00146084207836682;0.000371190416831696
2.52500000000000;0.527633710361101;0.0333030209979191;0.132733711762819;0.169816336929716;0.136513219948444;1070.09959648637;0.00145464026481263;0.000369635361264952
2.53500000000000;0.527492478487648;0.0333210694523309;0.132697965495217;0.169904825995544;0.13658366056926;1069.96853840258;0.00144848906438779;0.000368092906849776
2.54500000000000;0.527351870780615;0.0333390392212223;0.132662376007792;0.169992924588093;0.136653789402278;1069.83802514445;0.00144238786777048;0.000366562902619922
2.55500000000000;0.527211882045785;0.0333569309546854;0.132626942001083;0.1700806359542;0.136723609044246;1069.70805233091;0.00143633607531674;0.000365045199998032
2.56500000000000;0.527072507152207;0.0333747452949332;0.132591662191415;0.170167963301181;0.136793122060265;1069.57861563294;0.00143033309686859;0.00036353965274842
2.57500000000000;0.52693374103118;0.0333924828764252;0.132556535310644;0.170254909797455;0.136862330984296;1069.44971077281;0.00142437835156941;0.000362046116931649
2.58500000000000;0.526795578675263;0.0334101443259907;0.13252156010591;0.170341478573175;0.136931238319661;1069.32133352325;0.00141847126768162;0.000360564450859669
2.59500000000000;0.526658015137304;0.0334277302629494;0.132486735339398;0.170427672720824;0.136999846539525;1069.19347970667;0.00141261128240915;0.000359094515052073
2.60500000000000;0.52652104552948;0.0334452412992298;0.132452059788095;0.170513495295818;0.137068158087377;1069.06614519438;0.00140679784172423;0.000357636172193517
2.61500000000000;0.526384665022371;0.0334626780394852;0.132417532243562;0.170598949317088;0.137136175377493;1068.93932590585;0.0014010304001979;0.000356189287091952
2.62500000000000;0.526248868844037;0.0334800410812072;0.132383151511704;0.170684037767652;0.1372039007954;1068.81301780795;0.00139530842083453;0.000354753726637914
2.63500000000000;0.526113652279118;0.033497331014838;0.132348916412545;0.170768763595175;0.137271336698323;1068.68721691421;0.00138963137490867;0.000353329359764334
2.64500000000000;0.525979010667959;0.033514548423879;0.132314825780011;0.170853129712525;0.137338485415626;1068.56191928417;0.00138399874181046;0.000351916057408467
2.65500000000000;0.525844939405741;0.0335316938849985;0.132280878461713;0.170937138998304;0.137405349249244;1068.43712102261;0.00137841000888831;0.00035051369247319
2.66500000000000;0.52571143394163;0.0335487679681373;0.132247073318735;0.171020794297386;0.137471930474112;1068.31281827891;0.00137286467129884;0.00034912213979004
2.67500000000000;0.525578489777954;0.0335657712366113;0.132213409225428;0.171104098421432;0.137538231338574;1068.18900724632;0.0013673622318595;0.000347741276082884
2.68500000000000;0.525446102469379;0.0335827042472131;0.13217988506921;0.171187054149401;0.137604254064796;1068.06568416138;0.00136190220090433;0.000346370979932444
2.69500000000000;0.525314267622112;0.0335995675503116;0.132146499750359;0.17126966422805;0.137670000849167;1067.94284530318;0.00135648409614266;0.000345011131741469
2.70500000000000;0.525182980893116;0.0336163616899493;0.132113252181825;0.171351931372422;0.137735473862688;1067.8204869928;0.00135110744252242;0.000343661613701079
2.71500000000000;0.525052237989338;0.0336330872039377;0.132080141289032;0.171433858266331;0.137800675251361;1067.69860559265;0.00134577177209398;0.000342322309757197
2.72500000000000;0.524922034666955;0.0336497446239518;0.132047166009696;0.17151544756283;0.137865607136567;1067.57719750585;0.00134047662387939;0.000340993105578399
