l,"""Cl2 + Propene --> AllylCl + HCl"" rate","""Cl2 + Propene --> 12-ClC3"" rate",HCl,Propene,Cl2,AllylCl,12-ClC3,FLMOL,T
5.2499999999999325,0.0006201871987971507,0.0006646820208662745,0.016124085946449384,0.7754376482923494,0.15012285100874306,0.016124085946449384,0.04219132880600886,0.6016329395675039,581.7093374817664
5.259999999999932,0.0006223704549906743,0.0006643420504675177,0.016198472579077437,0.7753469910481203,0.14998338192971067,0.016198472579077437,0.042272681864014255,0.6015859799951365,581.9486508115741
5.269999999999932,0.0006245589820955967,0.0006640000831223219,0.01627312734200223,0.7752560715104325,0.14984366806773358,0.01627312734200223,0.04235400573782959,0.6015390445950165,582.1881249525775
5.279999999999932,0.0006267527753057707,0.000663656115266129,0.016348050904007223,0.7751648890628438,0.1497037089633945,0.016348050904007223,0.04243530016574714,0.6014921335085514,582.4277600605034
5.289999999999932,0.000628951829625395,0.0006633101433407404,0.016423243933355054,0.7750734430895511,0.14956350415826658,0.016423243933355054,0.04251656488547225,0.6014452468774004,582.6675562893719
5.299999999999931,0.0006311561398672712,0.0006629621637944838,0.016498707097763757,0.774981732975412,0.1494230531949366,0.016498707097763757,0.042597799634123856,0.6013983848434742,582.9075137914734
5.309999999999931,0.0006333657006510428,0.0006626121730823784,0.016574441064382838,0.7748897581059707,0.14928235561702852,0.016574441064382838,0.04267900414823514,0.6013515475489336,583.1476327173459
5.319999999999931,0.0006355805064014356,0.0006622601676663073,0.01665044649976903,0.7747975178674805,0.14914141096922717,0.01665044649976903,0.04276017816375408,0.6013047351361898,583.3879132157513
5.329999999999931,0.000637800551346482,0.0006619061440151864,0.016726724069861938,0.7747050116469296,0.14900021879730221,0.016726724069861938,0.0428413214160442,0.601257947747903,583.6283554336524
5.339999999999931,0.0006400258295157344,0.0006615500986051378,0.01680327443995934,0.774612238832064,0.14885877864813205,0.01680327443995934,0.04292243363988512,0.6012111855269834,583.8689595161894
